,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
821,Beer for My Horses,89,PG-13,2008-08-08,Michael Salomon,"Toby Keith, Rodney Carrington, Ted Nugent, Claire Forlani, Tom Skerritt","Bill Racklin is a deputy sheriff in Greer County Oklahoma, the crystal meth capital of the region. His girlfriend leaves him because he's inattentive to her, but things look up when his high-school sweetheart, Annie Streets, returns home to care for her ailing mother. Annie's step-father, Buck Baker, is the local heartless rich guy, buying up farmland. On a stakeout, Rack and two other deputies arrest four men stealing fertilizer to make crystal meth; one of the four is the brother of a notorious Mexican drug dealer. The drug lord arranges Annie's kidnapping and holds her to ransom his brother. Rack and the deputies, prisoner in tow, head for Mexico to rescue her."
822,Beverly Hills Chihuahua,91,PG,2008-09-30,Raja Gosnell,"Drew Barrymore, Andy Garcia, Jamie Lee Curtis, George Lopez, Cheech Marin","While on vacation in Mexico, Chloe, a ritzy Beverly Hills chihuahua, finds herself lost and in need of assistance in order to get back home."
823,Blindness,120,R,2008-05-14,Fernando Meirelles,"Julianne Moore, Mark Ruffalo, Maury Chaykin, Mitchell Nye, Alice Braga","A city is ravaged by an epidemic of instant ""white blindness"". Those first afflicted are quarantined by the authorities in an abandoned mental hospital where the newly created ""society of the blind"" quickly breaks down. Criminals and the physically powerful prey upon the weak, hoarding the meager food rations and committing horrific acts. There is, however, one eyewitness to the nightmare. A woman whose sight is unaffected by the plague follows her afflicted husband to quarantine. There, keeping her sight a secret, she guides seven strangers who have become, in essence, a family. She leads them out of quarantine and onto the ravaged streets of the city, which has seen all vestiges of civilization crumble."
824,Body of Lies,128,R,2008-10-08,Ridley Scott,"Leonardo DiCaprio, Russell Crowe, Mark Strong, Golshifteh Farahani, Oscar Isaac","Roger Ferris is a CIA operative in the Middle East; Ed Hoffman is his control at Langley. Cynicism is everywhere. In Amman, Roger works with Hani Salaam, Jordan's head of security, whose only dictum is ""Don't lie to me."" The Americans are in pursuit of a cleric who leads a group placing bombs all over Europe. When Hani rebukes Ed's demand that Jordan allow the Americans to use one of Jordan's double agents, Roger and Ed hatch a plan to bring the cleric to them. The plan is complicated by its being a secret from Hani and by Roger's attraction to a local nurse. Satellites and cell phones, bodies and lies: modern warfare."
825,Bolt,96,PG,2008-11-21,"Byron Howard, Chris Williams","John Travolta, Malcolm McDowell, Mark Walton, Miley Cyrus, Susie Essman",The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.
826,Boy A,99,R,2007-09-08,John Crowley,"Andrew Garfield, Peter Mullan, Katie Lyons, Shaun Evans, Jeremy Swift","The story of a young Jack, newly released from serving a prison sentence for a crime he committed as a child."
827,Brideshead Revisited,133,PG-13,2008-07-25,Julian Jarrold,"Matthew Goode, Ben Whishaw, Emma Thompson, Hayley Atwell, Michael Gambon","WWII. Charles Ryder, in his civilian life, rose out of his middle class London background, which includes being an atheist and having a distant relationship with his eccentric father, to become an up and coming artist. He is currently an army officer, who is stationed at a makeshift camp set up at Brideshead estate before imminently getting shipped into battle. The locale, which is not unfamiliar to him, makes him reminisce about what ended up being his doomed relationship with Brideshead's owners, the Flytes, an ostentatiously wealthy family. Charles first met Sebastian Flyte when they both were students at Oxford, where Sebastian surprisingly welcomed Charles into his circle of equally wealthy, somewhat stuck up and flamboyant friends. Charles ended up getting caught up in Sebastian's family struggles, where Sebastian used excessive alcohol to deal with the pain resulting from his family relationships. Although Charles and Sebastian were more than just friends, Charles ultimately fell in love with Sebastian's sister, Julia Flyte. But the biggest obstacle to Charles being intimately involved with anyone in the Flyte family was the family matriarch, Lady Marchmain, a strict and devout Catholic who ruled the family with that adherence to a strict Catholic lifestyle. That was despite her and Lord Marchmain's own marriage being in name only, as he lived in Venice with his mistress, Cara."
828,Burn After Reading,96,R,2008-08-27,"Joel Coen, Ethan Coen","Frances McDormand, John Malkovich, Brad Pitt, Tilda Swinton, George Clooney","Osbourne Cox, a Balkan expert, is fired at the CIA, so he begins a memoir. His wife wants a divorce and expects her lover, Harry, a philandering State Department marshal, to leave his wife. A diskette falls out of a gym bag at a Georgetown fitness center. Two employees there try to turn it into cash: Linda, who wants money for elective surgery, and Chad, an amiable goof. Information on the disc leads them to Osbourne who rejects their sales pitch; then they visit the Russian embassy. To sweeten the pot, they decide they need more of Osbourne's secrets. Meanwhile, Linda's boss likes her, and Harry's wife leaves for a book tour. All roads lead to Osbourne's house."
829,Cadillac Records,108,R,2008-12-05,Darnell Martin,"Adrien Brody, Beyonce Knowles, Emmanuelle Chriqui, Gabrielle Union, Yasiin Bey","In this tale of sex, violence, race, and rock and roll in 1950s Chicago, ""Cadillac Records"" follows the exciting but turbulent lives of some of America's musical legends, including Muddy Waters, Leonard Chess, Little Walter, Howlin' Wolf, Etta James and Chuck Berry."
830,Changeling,141,R,2008-10-24,Clint Eastwood,"John Malkovich, Jeffrey Donovan, Michael Kelly, Colm Feore, Angelina Jolie","A grief-stricken mother takes on the LAPD to her own detriment when it stubbornly tries to pass off an obvious impostor as her missing child, while also refusing to give up hope that she will find him one day."
831,Charlie Bartlett,97,R,2007-05-01,Jon Poll,"Anton Yelchin, Robert Downey Jr., Hope Davis, Kat Dennings, Tyler Hilton","Although cheerful, friendly, intelligent, well-dressed, authentic and wealthy, Charlie Bartlett has problems. With his father gone and his mother loopy and clueless, he's been expelled from every private school for his victimless crimes. Now he's in a public school getting punched out daily by the school thug. He ever longs to be popular - the go-to guy - and the true crux of his troubles is that he invariably finds the means to this end, whatever that might be. At Western Summit High, he makes peace with his tormentor by going into business with him - listening to kids' problems and selling them prescription drugs. Charlie's a hit, but attraction to Susan (daughter of the school's laissez-faire principal), new security cameras on campus, a student's overdose, and Charlie's open world view all converge to get him in serious trouble. Can this self-made physician possibly heal himself and just be a kid?"
832,Che,135,R,2008-12-12,Steven Soderbergh,"Rodrigo Santoro, Catalina Sandino Moreno, Joaquim de Almeida, Lou Diamond Phillips, Benicio Del Toro","In 1967, Ernesto 'Che' Guevara leads a small partisan army to fight an ill-fated revolutionary guerrilla war in Bolivia, South America."
833,Cloverfield,84,PG-13,2008-01-16,Matt Reeves,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
834,College Road Trip,82,G,2008-03-03,Roger Kumble,"Martin Lawrence, Raven, Donny Osmond, Brenda Song, Eshaya Draper","Melanie Porter (Raven-Symone)is a talented high school graduate who has selected a University 800 miles from home. Her over protective father, James (Martin Lawrence) doesn't want her to be so far away, so he cooks up a plot to try to convince her to go to a local University. On the guise of going to her selected university, he forces a visit to his preferred (close to home) school. This is a typical road trip movie with lost cars, bumming rides on buses and planes, covering that difficult time of life when a father loses control of his daughter."
835,Death Race,105,R,2008-08-21,Paul W.S. Anderson,"Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson, Robin Shou","In 2012, amid economic chaos and high unemployment, Americans watch by the millions as criminals with life sentences race armored cars on Terminal Island. Two-thirds of the combatants die but the winner may earn his freedom. On the day he loses his job, steelworker Jensen Ames is arrested for his wife's murder. Sent to Terminal Island, he's offered an out by the steely and manipulative Warden Hennessey - race as the popular mask-wearing (but now dead) champion, Frankenstein, or rot in prison. Jensen makes the bargain. As the three-stage race approaches, he realizes that the whole thing may be a set up - can an anonymous man behind a mask get revenge and win his release?"
836,Deception,108,R,2008-04-25,Marcel Langenegger,"Hugh Jackman, Ewan McGregor, Michelle Williams, Lisa Gay Hamilton, Maggie Q","Cat and mouse. Jonathan McQuarry is an auditor in Manhattan, moving from office to office checking their books. While working late, a smooth and well-dressed man named Wyatt Bose chats Jonathan up, offers him a joint, and soon they're pals. When their cell phones are accidentally swapped, Jonathan answers Wyatt's phone to a series of women asking if he's free tonight. Jonathan discovers it's a sex club: busy powerful people meet each other anonymously in hotels. Jonathan falls for one of the club members, whom he knows only as ""S,"" whom he's also seen on a subway. When she goes missing, patterns emerge and Jonathan faces demands involving violence and lots of money."
